company,type,model,oui_regex,rtsp_url,video_encoding,port,streams,channels,stream_names,channel_names,low_res_stream,high_res_stream,username,password,is_digest_auth_supported,user_manual_url
Panasonic,camera,BL-C230;WC-S3531L,(00:80:F0|08:00:23|BC:C3:42|4C:36:4E),rtsp://{{username}}:{{password}}@{{ip_address}}/MediaInput/h264,H.264,80,,,,,,,Administrator,,,http://security.panasonic.com/support/technical/qr_guide_c230/
Panasonic,camera,BB-HCM531A,(00:80:F0),rtsp://{{username}}:{{password}}@{{ip_address}}/nphMpeg4/nil-640x480,H.264,80,,,,,,,Administrator,,,http://www.crestron.com/downloads/pdf/product_misc/rg_ip_streaming_panasonic_bb-hcm531a.pdf
Sharx Security,camera,SCNC2900;SCNC3905;SCNC3805,(00:0D:F0|00:E0:4C|78:12:B8),rtsp://{{username}}:{{password}}@{{ip_address}}/live/{{stream}}/h264.sdp,H.264,80,0;1;2,,,,2,0,admin,admin,TRUE,https://www.sharxsecurity.com/pdf/Sharx%20Security%20Camera%20SCNC2900%20SCNC3905.pdf
Sharx Security,camera,SCNC3804,(00:E0:4B|7C:DD:90),rtsp://{{username}}:{{password}}@{{ip_address}}/live/{{stream}}/h264.sdp,H.264,80,0;1;2,,,,2,0,admin,admin,TRUE,
Sharx Security,camera,SCN3605;SCNC2700,(00:E0:4C|00:80:48),rtsp://{{username}}:{{password}}@{{ip_address}}/live_mpeg4.sdp,MPEG4,80,0;1;2,,,,2,0,admin,admin,TRUE,
Foscam,camera,C1;R2;F19803P,(A0:07:A0|00:12:7B|00:0D:C5|E8:AB:FA|00:62:6E),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/videoMain,H.264,88,,,,,,,admin,,,http://foscam.us/media/mconnect_uploadfiles/c/1/c1%20user%20manual.pdf
D-Link,camera,DCS-2332,(28:10:7B),rtsp://{{username}}:{{password}}@{{ip_address}}/live{{stream}}.sdp,H.264,554,1;2;3,,,,3,1,admin,,,http://www.dlink.com/-/media/Consumer_Products/DCS/DCS%202332L/Manual/DCS_2332L_A1_Manual_v100_WW.pdf
D-Link,camera,DCS-960L;DCS-936L;DCS-2630L,(B0:C5:54|B2:C5:54),rtsp://{{username}}:{{password}}@{{ip_address}}/play{{stream}}.sdp,H.264,554,1;2;3,,,,3,1,admin,,,ftp://ftp2.dlink.com/PRODUCTS/DCS-960L/REVA/DCS-960L_REVA_MANUAL_1.00_EN_US.PDF
IC Realtime,nvr,NVR,(9C:14:63|14:A7:8B|3C:EF:8C|4C:11:BF|E0:50:8B|90:02:A9),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/cam/realmonitor?channel={{channel}}&subtype={{stream}},H.264,554,0;1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,hi-res;lo-res,Channel {{channel}},1,0,admin,000000,,http://icrealtime.com/docs/product-manual/Man_NVR716N.pdf
Axis,camera,M3024-LVE,(AC:CC:8E),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/axis-media/media.amp?camera={{stream}},H.264,554,1;2,,Stream {{stream}},,2,1,root,,,http://www.axis.com/us/en/products/axis-m3024-lve/support-and-documentation
Axis,camera,P1224,(00:40:8C),rtsp://{{username}}:{{password}}@{{ip_address}}/axis-media/media.amp,H.264,554,,,,,,,root,,,http://www.axis.com/files/manuals/um_p1224e_57828_en_1405.pdf
Axis,camera,207W,(00:40:8C),rtsp://{{username}}:{{password}}@{{ip_address}}/mpeg4/media.amp,MPEG4,554,,,,,,,root,,TRUE,http://www.axis.com/files/manuals/um_207w_mw_33158_en_1208.pdf
Axis,camera,P1214-E,(00:40:8C),rtsp://{{username}}:{{password}}@{{ip_address}}/axis-media/media.amp,H.264,554,,,,,,,root,,,http://www.axis.com/files/manuals/um_axis_P1214e_61497r1_en_1412.pdf
Axis,nvr,241Q,(00:40:8C),rtsp://{{username}}:{{password}}@{{ip_address}}/mpeg4/{{channel}}/media.amp,H.264,554,,1;2;3;4,,Channel {{channel}},,,admin,admin,,https://www.axis.com/files/manuals/um_241S_241Q_36455__en_0908.pdf
Hikvision,camera,DS-2CD2032-I;DS-2CD2432F-IW;DS-2CD2035-I;DS-2CD2042WD-I;DS-2CD2342WD-I;DS-2CD2142FWD;DS-2CD4A26FWD-IZHS/P;DS-2CD4135F-IZ,(C4:2F:90|C0:56:E3|BC:AD:28|44:19:B6|28:57:BE|00:95:69|A4:14:37|20:F4:1B|54:C4:15|4C:BD:8F|B4:A3:82|64:DB:8B|94:E1:AC|18:68:CB|58:03:FB|BC:BA:C2|14:2F:FD|64:25:5E),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/PSIA/streaming/channels/10{{stream}},H.264,554,1;2,,,,2,1,admin,admin,,http://www.hikvision.com/UploadFile/image/2013061411054615328.pdf
Hikvision,nvr,DS-7600 series,(8C:E7:48|BC:AD:28|18:68:CB),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/Streaming/Channels/{{channel}}{{stream}},H.264,554,01;02,1;2;3;4;5;6;7;8,hi-res;lo-res,Channel {{channel}},02,01,admin,12345,,http://www.hikvision.com//uploadfile/image/20150831025213965.PDF
Hikvision,nvr,DS-7600 series,(54:C4:15|4C:BD:8F),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/Streaming/Channels/{{channel}}{{stream}},H.264,10554,01;02,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16,hi-res;lo-res,Channel {{channel}},02,01,admin,12345,,http://www.hikvision.com//uploadfile/image/20150831025213965.PDF
Digital Watchdog,nvr,VMAX A1,(00:1C:84|3C:04:BF),rtsp://{{username}}:{{password}}@{{ip_address}}:{{port}}/rtsp/unicast/live/profile-{{channel}},H.264,554,,1;2;3;4,,,,,admin,,,http://digital-watchdog.com/forcedown?file_path=_gendownloads/fe8bcd0f-58df-4414-ae3c-bc76fda207c1/&file_name=DW_MAN_VMAX%20A1_Rev0416.pdf
